year,month,total,minimum,maximum
1898,3,821.40,0.00,222.50
1898,4,214.50,0.00,40.90
1898,5,83.50,0.00,32.00
1898,6,18.70,0.00,8.40
1898,7,31.00,0.00,6.10
1898,8,124.40,0.00,29.20
1898,10,5.10,0.00,3.30
1898,11,18.00,0.00,15.70
1898,12,71.40,0.00,30.70
1899,1,234.30,0.00,43.90
1899,2,253.40,0.00,61.50
1899,3,1212.70,0.00,358.60
1899,4,204.50,0.00,34.30
1899,5,82.80,0.00,15.70
1899,6,30.70,0.00,18.80
1899,7,65.80,0.00,24.60
1899,8,44.80,0.00,21.10
1899,9,77.30,0.00,10.20
1899,10,9.40,0.00,5.60
1899,11,16.80,0.00,7.40
1899,12,70.50,0.00,25.10
1900,1,962.60,0.00,219.70
1900,2,26.70,0.00,13.20
1900,3,215.40,0.00,47.20
1900,4,88.90,0.00,24.40
1900,5,102.10,0.00,26.70
1900,6,57.80,0.00,34.30
1900,7,12.30,0.00,5.30
1900,8,1.30,0.00,1.00
1900,9,51.60,0.00,25.40
1900,10,38.80,0.00,15.70
1900,11,20.80,0.00,9.90
1900,12,69.60,0.00,16.30
1901,1,371.00,0.00,156.50
1901,2,598.70,0.00,154.70
1901,3,300.10,0.00,46.50
1901,4,213.30,0.00,77.50
1901,5,337.70,0.00,69.30
1901,6,25.20,0.00,14.50
1901,7,20.80,0.00,15.20
1901,8,54.40,0.00,13.00
1901,9,45.90,0.00,15.50
1901,10,60.70,0.00,37.80
1901,11,103.30,0.00,38.10
1901,12,12.70,0.00,7.60
1902,1,122.00,0.00,54.60
1902,2,294.00,0.00,121.40
1902,3,272.70,0.00,98.60
1902,4,95.20,0.00,18.80
1902,5,84.80,0.00,16.50
1902,6,135.30,0.00,24.60
1902,7,144.20,0.00,68.30
1902,8,34.30,0.00,9.40
1902,9,0.00,0.00,0.00
1902,10,6.40,0.00,5.30
1902,11,39.10,0.00,21.30
1902,12,64.30,0.00,23.40
1903,1,459.90,0.00,123.20
1903,2,275.70,0.00,104.10
1903,3,1061.90,0.00,248.20
1903,4,578.40,0.00,359.70
1903,5,56.30,0.00,10.90
1903,6,16.00,0.00,9.40
1903,7,34.30,0.00,9.70
1903,8,46.20,0.00,17.80
1903,9,14.80,0.00,5.60
1903,11,118.00,0.00,53.30
1903,12,393.90,0.00,164.80
1904,1,149.00,0.00,53.80
1904,2,88.40,0.00,26.20
1904,3,590.10,0.00,184.70
1904,4,324.80,0.00,80.00
1904,5,51.30,0.00,23.60
1904,6,0.00,0.00,0.00
1904,7,3.80,0.00,3.80
1904,8,32.60,0.00,14.00
1904,9,8.10,0.00,8.10
1904,10,48.50,0.00,28.40
1904,11,2.00,0.00,2.00
1904,12,356.00,0.00,159.80
1905,1,806.70,0.00,208.80
1905,2,154.20,0.00,67.30
1905,3,125.50,0.00,32.80
1905,4,250.80,0.00,66.00
1905,5,154.00,0.00,32.30
1905,6,73.90,0.00,21.30
1905,7,36.00,0.00,12.40
1905,8,76.50,0.00,23.40
1905,9,0.00,0.00,0.00
1905,10,8.80,0.00,5.80
1905,11,33.00,0.00,12.20
1905,12,13.20,0.00,10.20
1906,1,186.90,0.00,79.50
1906,2,281.10,0.00,50.00
1906,3,405.30,0.00,110.20
1906,4,107.80,0.00,16.80
1906,5,142.20,0.00,33.00
1906,6,125.50,0.00,30.70
1906,7,70.40,0.00,19.60
1906,8,72.80,0.00,11.90
1906,9,70.70,0.00,21.60
1906,10,13.40,0.00,6.60
1906,11,230.20,0.00,55.90
1906,12,211.80,0.00,33.30
1907,1,515.60,0.00,92.50
1907,2,280.00,0.00,48.00
1907,3,120.70,0.00,31.80
1907,4,64.80,0.00,16.00
1907,5,265.50,0.00,53.30
1907,6,123.20,0.00,40.60
1907,7,7.60,0.00,7.60
1907,8,19.50,0.00,11.70
1907,9,23.60,0.00,11.40
1907,10,6.70,0.00,2.30
1907,11,39.60,0.00,7.10
1907,12,657.10,0.00,156.50
1908,1,569.90,0.00,247.10
1908,2,185.20,0.00,101.30
1908,3,631.40,0.00,128.00
1908,4,122.80,0.00,21.80
1908,5,82.60,0.00,31.80
1908,6,7.40,0.00,5.60
1908,7,166.00,0.00,62.50
1908,8,59.70,0.00,22.90
1908,9,38.30,0.00,28.40
1908,10,173.30,0.00,102.10
1908,11,41.10,0.00,15.50
1908,12,43.00,0.00,14.00
1909,1,651.50,0.00,314.20
1909,2,95.50,0.00,33.50
1909,3,332.90,0.00,81.30
1909,4,122.20,0.00,43.90
1909,5,36.80,0.00,18.80
1909,6,66.80,0.00,21.80
1909,7,20.30,0.00,13.70
1909,8,66.00,0.00,20.30
1909,9,3.80,0.00,3.80
1909,10,90.70,0.00,27.90
1909,11,209.80,0.00,30.50
1909,12,480.00,0.00,160.80
1910,1,838.70,0.00,238.80
1910,2,477.30,0.00,148.60
1910,3,433.30,0.00,92.70
1910,4,450.30,0.00,135.10
1910,5,110.40,0.00,39.60
1910,6,190.10,0.00,44.50
1910,7,0.00,0.00,0.00
1910,8,91.30,0.00,14.00
1910,9,32.00,0.00,10.20
1910,10,45.50,0.00,19.30
1910,11,93.60,0.00,25.90
1910,12,309.20,0.00,205.70
1911,1,997.20,0.00,272.30
1911,2,698.80,0.00,414.00
1911,3,1264.10,0.00,472.40
1911,4,1840.70,0.00,731.50
1911,5,48.40,0.00,14.00
1911,6,13.60,0.00,3.80
1911,7,19.20,0.00,8.90
1911,8,0.00,0.00,0.00
1911,9,0.00,0.00,0.00
1911,10,0.00,0.00,0.00
1911,11,7.90,0.00,4.10
1911,12,32.00,0.00,17.80
1912,1,84.60,0.00,59.70
1912,2,291.30,0.00,41.90
1912,3,410.00,0.00,102.90
1912,4,95.90,0.00,29.70
1912,5,152.90,0.00,24.60
1912,6,231.80,0.00,129.50
1912,7,29.50,0.00,11.90
1912,8,83.80,0.00,30.50
1912,9,16.40,0.00,9.10
1912,10,86.60,0.00,34.50
1912,11,43.20,0.00,12.70
1912,12,34.00,0.00,16.80
1913,1,810.70,0.00,415.00
1913,2,635.30,0.00,385.60
1913,3,655.20,0.00,147.60
1913,4,231.20,0.00,66.00
1913,5,217.00,0.00,165.40
1913,6,21.50,0.00,15.20
1913,7,5.80,0.00,5.80
1913,8,3.00,0.00,3.00
1913,9,5.10,0.00,3.30
1913,10,51.10,0.00,30.50
1913,11,0.00,0.00,0.00
1913,12,486.40,0.00,138.40
1914,1,769.00,0.00,216.40
1914,2,471.60,0.00,162.60
1914,3,407.60,0.00,101.60
1914,4,232.00,0.00,61.00
1914,5,138.80,0.00,36.80
1914,6,103.70,0.00,47.00
